,ACCIDENT_YEAR,BICYCLE_ACCIDENT,COLLISION_DATE,COLLISION_SEVERITY,COLLISION_TIME,COUNT_BICYCLIST_INJURED,COUNT_BICYCLIST_KILLED,DAY_OF_WEEK,DIRECTION,DISTANCE,INTERSECTION,LATITUDE,LONGITUDE,NUMBER_INJURED,NUMBER_KILLED,PRIMARY_RD,PROC_DATE,SECONDARY_RD,WEATHER_1,MONTH,DAY
0,2017,Y,20170428,1,1128,0,1,5,,0.0,Y,37.77798,-122.39173,0,1,MISSION BAY SOUTH BL,20180614,3RD ST,A,04,28
1,2017,Y,20170613,0,40,0,0,2,,0.0,Y,37.714934,-122.459089,0,0,CAPITOL AV,20170719,LOBOS ST,A,06,13
2,2017,Y,20170603,3,1300,1,0,6,S,50.0,N,37.757029,-122.418899,1,0,MISSION ST,20170725,21ST ST,A,06,03
3,2017,Y,20170606,4,1000,1,0,2,W,60.0,N,37.779554,-122.431974,1,0,GOLDEN GATE AV,20170720,FILLMORE ST,A,06,06
4,2017,Y,20170614,3,1757,1,0,3,S,25.0,N,37.777971,-122.409396,1,0,7TH ST,20170719,HOWARD ST,A,06,14
5,2017,Y,20170613,3,1450,1,0,2,,0.0,Y,37.805825,-122.411966,1,0,MARKET ST,20170719,POWELL ST,A,06,13
6,2017,Y,20170612,4,820,1,0,1,E,1.0,N,37.793787,-122.402974,1,0,SACRAMENTO ST,20170719,MONTGOMERY ST,-,06,12
7,2017,Y,20170614,2,1155,1,0,3,,0.0,Y,37.786102,-122.418117,1,0,GEARY ST,20180328,LARKIN ST,A,06,14
8,2017,Y,20170609,4,857,1,0,5,,0.0,N,37.778388,-122.396452,1,0,BRANNAN ST,20170724,4TH ST,-,06,09
9,2017,Y,20170610,4,1619,1,0,6,W,50.0,N,37.790998,-122.417405,1,0,CALIFORNIA ST,20170720,HYDE ST,A,06,10
10,2017,Y,20170601,2,2036,1,0,4,N,7.0,N,37.805798,-122.442288,1,0,SCOTT ST,20170720,MARINA BL,A,06,01
11,2017,Y,20170609,3,2159,1,0,5,S,100.0,N,37.790577,-122.42069,2,0,POLK ST,20170720,CALIFORNIA ST,A,06,09
12,2017,Y,20170601,3,2109,1,0,4,S,132.0,N,37.790044,-122.402195,1,0,MONTGOMERY ST,20170726,SUTTER ST,-,06,01
13,2017,Y,20170601,4,1445,1,0,4,,0.0,Y,37.770759,-122.433562,1,0,WALLER ST,20170726,PIERCE ST,A,06,01
14,2017,Y,20170602,4,6,1,0,5,,0.0,Y,37.788694,-122.435488,1,0,STEINER ST,20170726,CALIFORNIA ST,A,06,02
15,2017,Y,20170622,3,950,1,0,4,,0.0,Y,37.772438,-122.422545,1,0,MARKET ST,20170829,VALENCIA ST,A,06,22
16,2017,Y,20170217,3,1434,1,0,5,,0.0,Y,37.795723,-122.423491,1,0,VAN NESS AV,20170801,BROADWAY ST,C,02,17
17,2017,Y,20170222,3,927,1,0,3,,0.0,Y,37.780712,-122.415329,1,0,MCALLISTER ST,20170316,HYDE ST,A,02,22
18,2017,Y,20170212,4,1605,1,0,7,,0.0,Y,37.783101,-122.419175,1,0,POLK ST,20170316,EDDY ST,A,02,12
19,2017,Y,20170213,3,1708,1,0,1,W,125.0,N,37.780961,-122.408716,1,0,MISSION ST,20170316,6TH ST,A,02,13
20,2017,Y,20170216,2,2200,1,0,4,S,15.0,N,37.772985,-122.445916,1,0,MASONIC AV,20170321,FELL ST,A,02,16
21,2017,Y,20170218,4,1934,0,0,6,W,25.0,N,37.780495,-122.412516,1,0,MARKET ST,20170320,7TH ST,A,02,18
22,2017,Y,20170222,3,948,1,0,3,,0.0,Y,37.778402,-122.409956,1,0,7TH ST,20170316,NATOMA ST,B,02,22
23,2017,Y,20170220,3,948,1,0,1,,0.0,Y,37.778402,-122.409956,1,0,7TH ST,20170316,NATOMA ST,A,02,20
24,2017,Y,20170228,4,1822,1,0,2,S,100.0,N,37.773044,-122.403233,1,0,7TH ST,20170315,BRANNAN ST,A,02,28
25,2017,Y,20170222,4,1925,1,0,3,,0.0,Y,37.77884,-122.430136,1,0,MCALLISTER ST,20170315,WEBSTER ST,A,02,22
26,2017,Y,20170211,4,1500,1,0,6,,0.0,Y,37.788226,-122.420216,1,0,POLK ST,20170315,FERN ST,A,02,11
27,2017,Y,20170204,3,2129,1,0,6,N,92.0,N,37.759294,-122.434841,1,0,CASTRO ST,20170315,19TH ST,A,02,04
